Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
2603,21,11,323,76,2448,212,216,139,511,2
3286,60,18,134,-20,1826,231,200,95,997,7
3129,100,13,234,-10,1200,241,222,110,1087,2
3244,339,15,127,37,1533,186,217,169,437,1
3065,170,12,150,17,1786,229,245,147,495,2
3211,41,14,268,14,5341,221,209,121,1253,1
2788,101,6,108,6,2190,230,232,135,1539,2
3318,299,5,787,71,853,206,238,171,1071,1
2995,170,14,379,73,5550,230,245,143,2996,1
3352,318,11,433,107,3328,191,230,179,3328,7
3041,328,10,558,20,3918,195,228,172,4455,2
2842,331,22,295,29,1860,162,206,181,1490,2
3278,230,7,210,38,1292,209,247,175,1154,1
3017,29,6,418,85,3005,218,227,145,1236,2
2546,15,5,234,25,335,215,229,150,1343,2
3234,198,9,323,32,2506,217,248,165,1380,1
2888,61,12,240,11,514,230,215,117,1801,2
3403,6,7,495,94,1654,211,226,152,2167,1
2505,228,7,0,0,1718,210,246,173,1622,6
3240,104,10,335,95,2475,238,227,119,3235,1
2983,244,17,108,14,2007,183,251,203,1262,1
3139,116,15,362,8,330,245,224,105,1952,2
3034,137,11,390,0,6614,237,236,128,3445,2
2945,211,18,60,16,1087,202,254,182,470,2
3055,80,4,30,0,3928,225,232,142,509,1
3124,97,13,417,45,5005,241,221,108,942,2
2870,24,5,0,0,1731,217,230,149,1124,1
2610,121,29,30,7,1495,254,202,53,1060,2
2949,149,13,362,32,5355,237,239,129,2297,2
3214,342,10,576,23,3184,200,226,164,3426,1
3122,163,14,630,85,1932,233,243,138,949,2
3345,60,4,459,54,1865,223,231,144,2977,2
3024,12,7,443,49,2917,213,226,150,551,2
3055,187,13,256,-24,2042,221,249,159,3872,1
2968,17,10,424,0,3989,212,219,144,4685,2
3098,243,11,351,-34,2609,199,249,188,674,1
2980,315,4,85,5,1275,210,236,165,752,2
3050,318,19,85,30,4510,167,220,191,2190,2
3140,280,16,0,0,4427,176,240,204,3596,1
3195,93,19,395,104,5305,246,207,81,1456,1
3049,322,19,190,50,390,167,217,188,1846,1
2849,2,21,228,37,792,186,195,142,1131,2
2348,192,9,234,54,895,220,248,162,518,4
3281,153,14,258,48,1907,237,240,130,1533,7
3272,272,5,400,88,382,205,242,175,1450,1
3186,78,26,258,26,1476,242,182,54,2372,1
3142,318,6,175,47,4460,204,235,169,1277,1
2896,16,7,420,99,997,214,226,148,2862,1
3160,155,32,319,82,127,237,223,89,3226,1
3168,335,4,162,14,4902,211,234,162,2601,2
3156,195,5,242,30,2297,219,244,161,752,2
2956,351,22,150,31,646,175,197,156,1830,1
2888,108,6,319,69,2886,231,233,136,2101,2
2909,151,6,268,36,2230,228,240,145,2508,2
3290,221,23,365,69,1900,186,254,197,3427,1
2838,59,11,95,0,1637,228,216,119,2468,2
3107,146,3,0,0,2352,224,239,150,2356,1
2788,291,13,120,31,1890,183,237,195,1082,2
3172,199,14,376,67,2160,215,251,168,819,1
2317,351,27,60,27,1216,161,182,151,306,3
2647,67,2,0,0,1433,221,235,151,1084,2
3086,157,17,192,32,6010,237,240,127,2248,2
3328,18,6,408,49,3444,216,227,149,2207,1
3356,76,6,180,-1,1403,228,229,136,3585,1
2895,28,13,216,63,2245,215,212,132,706,2
2785,331,6,228,35,2155,206,233,165,2605,2
3128,307,12,30,4,3736,187,233,186,1884,1
2835,46,16,124,33,2056,223,202,108,1392,2
3130,22,16,404,71,4935,208,205,130,2914,1
2967,193,3,216,25,1789,219,242,159,2215,2
3145,155,31,258,99,3542,238,225,92,2280,1
3207,82,15,90,-6,1678,240,212,98,2495,1
2772,213,5,42,0,1980,216,244,165,1355,2
3212,131,17,134,22,1777,245,228,105,1486,1
3242,320,7,495,-8,2859,202,233,171,192,2
3189,352,12,218,41,1024,199,219,158,2161,2
3241,124,14,339,76,3849,242,229,114,612,1
2936,324,8,306,80,3081,200,231,171,2285,2
2939,87,24,30,10,2228,247,193,62,2831,1
3256,206,6,306,33,3309,216,246,165,1722,1
3291,297,3,598,107,576,210,238,166,1300,1
3199,111,4,376,16,5420,227,235,143,2297,1
2746,8,15,335,135,1725,201,208,143,2496,6
3103,108,19,190,36,3552,249,214,86,2977,2
3103,348,10,120,8,5501,201,223,161,1099,1
2716,267,4,150,9,2030,209,241,170,4438,2
3014,202,11,765,105,5640,215,250,168,3082,2
3124,31,23,67,8,1600,207,184,103,1857,1
2840,81,5,283,52,2058,226,231,140,1920,2
3085,156,5,85,3,2594,225,240,150,618,1
3142,118,19,90,-13,4652,249,220,92,1182,1
2948,8,3,108,8,1746,216,232,154,564,1
3185,345,14,30,2,1574,192,217,163,511,1
3034,89,15,212,24,4156,241,215,100,2597,2
2981,0,4,0,0,3887,213,232,156,837,1
3098,211,15,450,86,2007,207,253,179,1981,2
2911,21,10,534,30,3065,214,219,141,2048,2
2925,60,8,124,-2,741,226,224,132,2092,2
2396,108,26,60,20,551,253,200,58,1302,3
2829,352,21,255,25,2278,180,200,155,1114,2
3088,294,10,60,10,1664,191,238,187,1006,1
3234,225,10,272,73,616,207,250,179,2577,1
2663,174,19,30,-8,2679,227,246,143,1727,2
3378,332,16,391,69,1574,182,218,175,2051,1
2774,51,13,210,85,1390,226,211,117,2154,2
2858,43,12,362,98,1290,222,214,125,2773,2
2445,99,11,30,1,408,239,224,114,1324,6
3077,123,5,60,1,1838,228,236,142,2018,1
3290,213,13,192,-3,1867,208,252,178,3903,1
2880,117,14,417,78,2820,244,226,108,1936,2
3133,17,11,391,38,1674,211,218,142,2768,1
3131,291,7,0,0,4442,199,239,179,3529,1
2633,144,4,0,0,1772,226,239,148,1458,2
3022,293,10,150,27,3223,193,238,185,1092,1
2401,137,20,162,48,42,246,228,102,283,6
3201,33,18,685,142,1624,213,197,113,3234,1
2861,64,21,120,48,840,234,192,81,2040,2
3120,230,11,268,8,1826,203,250,183,785,2
2966,350,21,127,-9,1249,178,200,158,698,2
2765,97,11,360,6,742,239,224,114,510,2
3072,112,12,390,17,604,240,227,115,1256,1
3199,67,16,351,-33,1765,235,206,98,1599,2
3265,97,12,270,99,1584,240,222,110,1521,2
3381,200,19,400,55,2950,209,253,172,1507,1
3062,41,5,518,22,5070,221,228,143,513,2
2685,54,14,524,18,860,228,208,111,1574,2
2491,287,9,268,8,543,195,240,185,1507,3
3108,168,6,306,71,2389,225,242,152,1215,1
3067,299,7,342,33,6577,200,237,177,3237,2
3272,57,8,210,36,3457,226,223,132,1842,1
2570,119,12,0,0,908,240,229,117,900,2
3267,63,3,242,15,6240,222,233,146,395,1
3231,107,16,242,53,1736,246,219,98,1401,1
2984,193,22,170,46,750,212,251,164,1664,2
3256,342,10,792,48,2024,200,226,164,603,1
2763,40,14,247,50,2610,220,208,119,277,5
2494,148,28,242,108,270,243,224,89,964,3
2827,337,5,30,1,2717,208,232,163,2041,2
2845,45,10,371,66,1355,223,219,130,2770,2
3113,92,23,424,109,4161,248,198,66,2554,2
3136,128,16,216,31,134,245,228,107,2089,1
2910,204,10,175,41,3282,215,249,169,2932,2
3275,277,12,540,91,457,188,242,194,1480,1
2519,16,22,108,21,859,195,187,122,934,2
3181,114,9,418,48,5656,236,231,125,1690,1
3187,59,11,391,-19,1902,228,218,121,2881,2
2529,8,14,0,0,630,202,211,144,324,2
2888,64,7,242,7,2007,227,226,133,2864,2
3133,339,11,60,11,3973,197,225,166,192,1
3053,6,18,108,34,2672,195,203,142,1594,1
2944,339,15,577,67,592,187,218,169,1084,1
3034,22,15,607,59,4149,210,208,131,2278,2
3036,96,12,190,37,5152,239,222,111,3273,2
2386,144,8,0,0,450,232,239,138,446,6
2985,270,16,577,85,5683,177,244,205,4577,2
2346,90,10,162,59,485,236,224,118,666,3
3226,121,19,242,64,1549,249,221,92,2751,1
3029,83,6,127,-3,1816,229,230,135,1771,1
3087,315,4,85,5,210,208,236,167,2024,1
3027,274,13,339,69,577,184,243,198,677,2
3229,210,16,384,94,721,205,253,179,4830,2
2968,122,23,255,75,2197,251,215,79,1652,2
3199,217,9,30,4,1060,211,249,174,1148,1
3036,149,21,192,36,488,242,233,109,1616,2
2794,103,12,170,41,1936,240,224,112,765,5
2683,193,24,351,29,503,210,251,163,808,2
2373,75,13,30,7,618,236,214,107,811,3
3147,51,13,67,3,3059,226,211,117,3097,2
2420,18,15,297,80,1360,208,208,134,631,6
3283,335,24,85,23,888,160,201,177,1376,2
2651,313,11,335,9,767,190,232,181,1325,2
3077,107,13,124,28,3317,242,223,108,731,2
2916,117,8,0,0,1159,234,233,131,3078,1
3145,37,17,182,39,895,217,199,112,2014,1
2590,72,12,600,13,1116,233,217,114,3926,2
2878,73,10,402,125,1423,232,221,121,1530,2
3200,339,12,518,40,1341,195,223,167,2380,1
2827,62,9,658,97,3042,228,221,125,1610,2
2912,4,22,255,60,3810,184,191,139,2681,2
2511,38,10,150,28,180,220,217,131,1739,6
3020,41,5,240,0,1470,221,228,143,1112,1
3315,120,10,30,-3,1380,238,231,123,1463,1
2893,127,2,516,60,3626,223,237,150,3166,2
3343,319,9,150,15,1342,198,232,174,1950,1
2792,66,8,540,4,767,229,224,128,1136,2
3101,315,10,153,-3,1710,192,232,179,930,1
2929,4,21,170,20,376,187,194,139,443,2
3302,56,14,192,64,4133,228,209,111,3565,7
3353,128,17,711,5,1425,246,227,105,2789,1
2521,351,24,67,-5,1205,169,191,154,1756,6
3329,236,16,390,108,1917,191,252,197,3314,1
3006,2,11,90,11,1099,205,219,151,446,1
3271,222,13,170,-5,1888,203,252,183,3960,1
2659,43,11,95,3,2250,222,215,126,892,2
2904,166,12,90,2,2363,230,244,144,2731,2
2758,47,18,108,25,1293,223,199,104,2634,2
3293,152,19,323,43,1492,240,237,119,2910,1
2507,153,8,150,26,1106,230,241,143,4642,2
3154,115,4,437,79,268,227,236,144,1813,2
2435,46,13,0,0,408,224,211,119,853,6
2841,339,12,0,0,3980,194,222,167,3242,1
3087,3,16,108,25,2896,197,208,146,2249,1
3172,280,15,255,37,210,178,241,202,2542,2
2554,91,12,256,43,690,239,220,109,124,2
2930,23,22,342,59,2793,202,188,115,900,2
3003,329,11,277,22,4065,194,227,173,1368,2
2915,325,12,270,-60,1269,190,227,176,497,2
3244,56,5,417,39,3111,224,228,140,3861,1
3268,50,11,366,59,5305,225,216,124,350,1
3214,102,10,127,6,3902,238,226,119,3593,1
3103,264,2,60,0,1045,214,240,164,1812,1
3540,18,9,216,47,1513,213,220,144,1124,7
2981,72,11,170,16,3649,233,218,116,994,2
3212,259,14,510,102,1237,187,247,199,2673,1
2802,94,7,0,0,2184,232,229,130,2227,1
2391,34,19,60,4,570,214,194,110,474,3
3430,185,11,660,37,3371,222,248,157,192,1
2746,331,15,182,57,1421,183,220,175,2262,2
2968,81,21,182,9,466,243,197,73,503,1
2967,11,15,384,100,2694,202,208,140,2469,2
2455,97,6,459,99,735,229,232,137,1116,6
2695,163,9,376,28,1142,229,243,146,2866,2
2996,45,16,120,-11,524,223,204,111,1176,1
2581,133,18,134,22,1485,246,228,104,2449,3
2725,118,6,85,4,2419,230,235,138,4248,2
2900,26,19,474,87,2656,208,196,118,1574,2
3094,347,6,162,29,1782,208,230,160,537,1
3197,51,12,626,102,5708,226,213,119,1452,1
3021,3,16,573,100,1431,196,207,146,365,2
2644,53,10,382,25,379,226,219,127,1825,2
2940,125,6,234,24,3772,230,236,139,4698,2
3364,0,12,603,136,2014,202,217,152,1182,1
3014,109,16,85,21,5020,246,220,98,3371,1
3025,24,9,319,12,1127,215,220,141,1747,1
3002,193,20,297,28,4738,214,252,164,646,2
3230,23,10,484,66,1861,214,219,140,2442,1
3033,354,9,212,34,2839,206,225,158,1719,2
3235,62,8,127,17,1224,227,223,130,2032,1
2918,23,6,0,0,1710,216,227,147,1738,1
3027,131,16,573,28,5372,244,230,109,3059,2
3008,251,18,283,66,5821,178,250,208,1830,1
3206,75,11,42,-8,2550,233,220,117,2634,1
2713,201,10,150,33,1470,216,249,167,3740,2
3021,267,18,309,122,5391,170,244,212,787,2
2533,41,10,150,39,124,222,217,130,552,2
2705,140,12,30,-4,2143,237,236,128,633,2
3043,62,24,510,18,2192,232,182,69,1930,1
2956,123,16,297,67,1590,245,226,104,1905,2
3366,291,4,150,10,1511,208,239,169,933,7
3208,14,19,451,17,3668,199,198,132,3012,1
2891,118,17,85,18,1489,247,223,99,2672,2
3029,56,5,391,6,2851,223,229,141,1388,2
2542,118,18,30,10,720,248,221,93,3314,2
2645,138,14,335,11,664,241,234,120,1573,2
2945,93,14,175,20,957,242,217,102,2098,2
2895,327,19,218,124,2230,171,216,182,1288,1
3042,72,20,210,-40,660,238,197,81,918,1
3318,309,9,792,130,828,195,234,179,997,1
3339,187,10,384,60,3491,221,247,159,1466,1
3241,198,15,722,27,553,214,252,168,2620,2
3241,38,11,150,15,4583,220,216,130,384,1
3144,27,14,285,49,2917,213,208,128,819,1
3171,61,17,150,18,4204,231,202,98,3432,1
3011,253,10,418,108,5368,198,247,187,1359,2
3169,169,22,150,78,2910,231,243,132,1207,2
2966,304,14,150,41,2190,180,232,192,2290,2
2565,81,10,371,19,1167,234,222,118,4079,2
2959,135,12,216,14,5348,239,234,123,1922,1
2985,35,19,361,63,4773,214,194,108,3499,1
2868,204,9,330,103,2083,215,248,168,780,5
3136,348,15,693,-54,3721,190,214,161,2825,2
3277,27,18,85,-5,2206,210,199,120,330,7
3256,65,9,108,4,721,229,222,126,1978,1
2756,114,12,127,25,1566,241,228,115,2173,2
2948,206,26,124,29,1605,193,253,181,2444,2
2876,154,12,0,0,1080,234,241,136,1869,2
2822,3,10,30,4,2661,206,220,152,1974,2
2842,22,11,408,44,900,213,217,139,376,2
2911,334,20,268,77,1707,170,209,176,2631,2
3153,236,20,351,90,3048,181,253,205,218,2
2754,351,6,30,3,990,210,230,159,2174,5
3124,250,16,793,145,6258,185,250,202,1357,2
3095,201,6,127,4,2038,218,245,163,636,2
2609,110,9,277,-12,1797,236,230,126,1979,6
3030,24,3,30,0,3558,218,233,152,270,1
3275,4,12,467,68,1207,204,218,150,402,1
2538,192,6,0,0,1148,220,244,160,2071,6
2739,131,4,285,23,1652,227,237,145,2197,2
2689,133,10,60,-1,1587,237,235,128,1399,1
2835,348,7,234,50,1974,207,229,160,1926,2
2551,269,18,300,71,492,171,244,211,782,2
3035,350,13,240,23,2429,197,218,159,1092,1
3000,357,27,150,76,417,167,181,143,2221,1
3341,345,17,484,66,2460,184,211,164,1052,1
3096,331,12,437,59,2308,191,225,173,1121,2
3073,32,9,216,9,4264,218,220,137,2903,2
3197,297,19,492,74,1466,165,231,205,2372,1
2701,59,10,85,0,1440,228,219,124,553,1
2580,349,8,127,10,2431,206,227,160,2525,2
2967,157,9,384,25,1956,230,242,143,2193,2
3213,200,8,182,30,2329,217,247,165,755,1
2846,207,22,85,26,1500,199,254,181,2230,2
3200,325,15,67,2,1959,181,222,180,1725,1
3130,168,9,127,8,2255,228,244,148,742,2
3138,297,15,150,40,3185,178,234,196,1531,2
3037,108,20,150,52,3711,250,212,80,2546,2
2947,333,14,342,27,5233,186,221,174,2064,2
2674,54,7,170,38,1940,224,225,136,2343,6
2714,70,21,124,42,150,237,193,77,1718,5
3057,225,1,330,66,5715,217,239,159,4750,2
2999,266,16,283,23,5923,179,245,205,1861,2
3097,61,2,170,0,4160,221,234,149,1376,1
3381,180,9,323,-15,2449,224,246,155,424,7
3044,81,12,301,123,2886,237,218,110,2295,1
2708,76,9,228,11,1343,231,224,126,2108,2
3180,259,6,201,0,4565,206,244,176,1068,1
3118,172,12,390,0,2239,228,246,148,1758,2
3339,196,11,295,60,3589,217,249,165,1557,1
3324,54,17,134,20,2117,228,203,103,1790,1
3044,222,14,552,-35,5826,202,252,185,2966,2
3045,133,9,30,0,1503,235,236,132,845,2
2896,10,24,228,66,2307,188,185,127,1771,1
3198,19,14,362,122,1012,208,209,135,726,1
2832,126,10,150,12,2143,237,233,126,2954,2
3207,333,4,708,23,994,210,234,163,2044,1
2830,303,13,127,32,2125,185,234,189,2072,1
3050,149,13,60,5,3499,236,239,130,2520,1
2673,346,10,242,42,1477,200,223,162,1468,2
2760,107,6,301,1,1842,230,233,137,765,2
3075,245,11,134,18,2962,198,248,188,1566,2
2817,331,16,0,0,2190,180,218,177,942,2
3064,39,13,547,122,242,220,212,124,1732,2
3073,336,9,690,39,6292,199,227,167,3523,1
3159,212,12,150,-5,2871,210,251,176,912,2
3096,113,10,426,111,3676,237,230,123,2613,1
2977,15,9,268,44,1800,212,221,146,2522,2
2835,89,12,218,69,1640,239,220,109,1634,5
2841,101,11,150,20,1209,238,226,117,1837,1
3193,62,12,190,2,408,230,215,115,1800,1
3246,130,29,780,92,1189,252,208,62,2539,1
2967,198,5,67,-6,4555,218,244,162,1932,2
3062,300,14,120,29,3501,179,233,194,466,1
2929,78,10,283,60,2056,234,221,118,2242,2
3008,129,9,201,37,2428,236,235,129,582,1
3300,159,15,571,98,2814,235,242,134,1092,2
3315,104,10,537,18,976,238,227,119,2681,1
2900,283,19,42,10,5098,164,237,212,1294,2
3106,100,14,201,42,3120,243,219,102,3136,1
3123,10,9,201,4,2264,210,221,148,2297,2
2684,58,12,85,14,1250,228,215,117,1909,2
2736,21,24,150,34,1385,197,182,113,1489,2
2980,78,12,400,17,4861,235,219,114,2568,1
3079,350,16,85,22,5001,188,210,159,323,1
2917,171,5,90,9,4265,223,242,154,4390,2
3133,287,11,134,6,4592,188,239,191,3355,1
2367,318,18,162,65,1380,169,221,190,800,3
2471,350,21,90,18,1277,177,199,157,760,6
2477,264,11,90,17,808,192,245,192,603,2
3054,59,6,424,0,2676,224,228,139,2706,2
3027,90,18,108,20,1415,245,208,85,1328,1
3266,285,11,404,45,2022,188,240,192,3202,1
3152,55,19,361,40,4614,228,197,95,3313,1
2799,56,12,721,11,655,228,214,117,1348,2
2554,101,6,180,0,830,230,232,135,663,2
3058,186,19,180,7,3511,219,250,156,1150,2
3034,184,7,258,38,2287,222,245,157,1273,2
3142,32,4,150,16,3461,219,230,147,4018,1
3351,72,12,67,2,2831,233,217,114,1706,7
3333,67,8,524,-4,1608,228,224,129,2106,1
2699,45,6,0,0,865,222,227,140,1575,1
2792,88,9,150,1,2700,234,226,124,2363,2
3364,351,19,509,30,3797,184,205,157,3485,7
2965,123,16,443,45,335,245,226,105,600,1
2887,25,13,108,8,1498,213,212,133,2486,2
2844,121,17,60,18,4142,247,223,99,700,1
3241,1,11,751,38,1728,205,220,152,966,1
2987,85,8,300,42,4078,232,227,128,1830,2
3278,181,12,430,60,4348,224,248,154,2314,1
2962,50,8,175,22,2032,224,222,132,582,1
3025,325,16,108,-4,2516,178,220,181,1449,1
3095,125,16,808,72,2897,246,226,104,2656,2
3027,70,6,272,50,4937,226,229,137,3573,2
3004,0,0,503,30,1954,218,238,156,1176,1
2749,22,11,297,58,2866,213,216,138,1253,5
3170,60,15,180,28,4201,231,207,104,3499,1
2313,25,20,67,33,1248,205,192,117,904,3
3191,108,20,30,-3,3354,250,212,81,342,1
2975,276,17,390,79,5286,174,242,207,1080,2
2996,14,9,242,54,3878,212,222,147,2592,2
3074,91,17,295,5,1123,244,210,89,1714,1
3144,242,16,42,3,1997,188,251,199,458,2
2905,297,16,120,28,3099,175,234,199,2163,2
2973,150,19,150,41,1405,240,236,118,3336,1
2772,67,12,488,55,674,232,215,113,2634,2
2681,74,10,0,0,1300,232,222,122,2028,2
2775,17,12,124,13,1524,210,214,140,1406,2
2834,319,17,67,13,990,174,222,187,1296,1
3015,5,10,30,2,1087,207,220,150,2714,1
2492,105,24,95,-6,1315,252,203,66,949,3
3303,160,17,90,6,1485,235,241,131,3073,1
3298,42,12,424,83,4374,222,213,124,1909,1
2551,156,10,0,0,2742,232,242,141,2358,2
2386,111,22,150,45,430,251,211,77,870,3
2959,90,9,600,62,738,235,225,121,1852,2
2908,337,16,301,90,306,182,215,171,1273,2
3161,30,13,30,6,4938,216,211,129,960,1
2735,162,12,190,33,1832,232,243,140,1071,2
3310,263,11,67,8,1879,192,246,193,1765,1
3008,164,15,212,39,4901,233,243,137,732,2
2991,305,14,180,52,2340,181,232,191,2349,2
3150,225,1,295,38,1552,217,239,159,2363,1
3203,270,10,30,0,4767,193,244,190,474,1
3194,155,16,150,43,811,237,240,128,2493,2
3170,359,16,360,29,2253,195,210,151,1465,2
3119,68,13,85,13,2534,233,214,112,1761,1
3190,138,21,190,32,2557,247,227,99,685,1
2765,332,8,85,14,900,201,230,168,2105,2
3148,52,11,210,50,190,226,215,122,2103,1
3082,117,24,190,35,630,253,209,70,1477,1
2315,149,23,95,31,1482,243,232,105,787,3
2830,71,19,190,58,4025,237,201,88,966,2
3117,62,9,60,9,5337,228,221,126,3212,2
2823,349,10,242,25,1839,202,223,160,1500,2
3220,151,16,90,22,1626,239,238,124,1532,2
2897,103,9,175,16,2106,236,228,122,2848,2
2879,20,16,190,24,3208,208,205,131,2356,2
3093,144,32,600,16,934,245,215,72,2420,1
2342,75,5,30,2,430,227,230,137,834,3
2826,23,21,335,92,120,203,191,117,890,2
3035,257,15,417,98,5971,183,248,202,1680,1
3262,188,15,150,62,2800,220,250,159,247,7
3275,317,15,457,136,2422,178,225,186,95,1
3070,131,10,85,14,4935,237,235,128,2040,2
2645,0,4,60,-1,573,214,232,156,1513,2
2761,155,25,30,5,1318,240,233,108,1626,2
2894,13,16,408,75,1590,203,205,136,2893,2
3175,169,6,301,34,319,225,243,152,2912,2
2924,180,3,108,-1,1025,220,241,156,2244,1
3207,12,9,234,32,1664,211,221,147,1963,2
3247,73,15,216,33,1203,237,209,100,1590,1
3168,3,10,127,20,1050,206,220,152,2165,2
3108,109,12,201,30,108,241,226,113,3690,2
2961,140,8,474,44,5160,232,238,138,2809,2
2857,9,21,30,7,283,191,192,133,134,2
2699,33,11,300,75,1380,218,215,132,466,2
3229,239,7,671,-4,531,207,246,176,713,2
3155,83,15,234,42,3712,240,213,99,3159,1
2687,207,20,175,-9,1976,202,254,179,331,3
2934,42,11,210,39,2058,222,216,128,2985,2
2615,93,12,272,74,912,239,222,111,552,2
2366,11,16,30,10,418,201,205,139,953,3
2798,250,19,182,8,2509,175,250,210,242,1
3210,144,21,433,111,335,245,230,104,4214,2
3087,275,14,247,33,484,182,243,200,875,2
2581,45,17,190,69,1214,222,201,107,661,2
3252,190,11,418,50,2568,220,248,161,1345,1
2760,199,11,30,3,1637,216,250,167,2383,2
3050,173,11,451,16,6494,227,245,149,3355,2
2313,104,19,127,42,108,248,213,86,1052,3
3090,60,12,750,36,2451,229,215,118,2208,1
3012,326,14,339,26,458,186,224,178,1440,2
2658,262,23,218,113,1140,156,244,223,1350,2
3103,70,15,240,28,4334,235,210,102,3316,1
3319,21,11,780,25,3187,213,217,140,853,1
2594,65,5,247,58,2584,225,230,140,648,2
2832,13,20,443,137,902,196,195,131,277,1
2980,135,3,330,7,2536,224,238,149,2075,1
2609,214,14,285,71,1116,205,253,181,1055,3
3227,218,26,297,81,1230,182,254,196,4469,2
3209,8,13,60,4,1531,204,213,145,859,7
3242,278,14,30,8,4633,180,241,201,895,2
2994,102,23,192,49,663,251,202,66,2613,2
2737,41,10,295,6,1614,221,219,132,376,1
2758,47,11,95,9,1838,224,215,124,2239,2
3131,268,16,376,65,5858,178,244,205,2051,2
2837,104,19,124,37,3283,249,212,83,1781,2
3226,15,23,60,19,1894,194,187,123,2140,2
3216,113,12,95,2,309,240,228,116,858,2
3102,301,11,153,21,1269,189,235,186,2837,2
3034,47,9,153,11,3189,223,220,131,1590,1
2941,101,20,212,-9,633,248,210,81,677,1
2833,112,18,190,54,658,248,219,93,1024,2
3272,333,10,418,44,1772,198,228,169,774,1
2707,329,4,67,-5,2054,210,235,163,4002,2
3141,143,17,240,79,2329,242,234,115,1560,1
3101,188,13,180,-25,2436,221,249,159,1865,2
3319,6,14,150,51,3412,201,212,146,1718,1
3054,223,17,330,42,2067,196,254,190,1940,2
3138,45,5,192,2,779,221,229,144,2260,1
3115,5,18,323,78,2624,194,201,142,1209,1
2942,11,10,150,35,4947,210,221,147,1853,1
3246,114,6,150,-2,1316,230,234,138,2780,1
3262,31,16,108,3,2139,214,203,120,306,7
2794,140,7,488,64,2846,231,238,139,1822,2
3006,90,1,134,24,395,221,236,151,983,1
2995,179,10,212,37,3925,224,246,154,1302,2
3189,95,21,256,76,1024,248,203,72,1907,2
3014,118,10,301,-5,1531,238,231,122,1027,1
2821,145,14,268,25,2550,239,237,125,1697,2
3158,281,4,351,5,1648,209,240,169,420,1
2962,354,17,631,59,3139,191,209,155,1490,2
3247,30,12,85,5,2089,216,214,132,256,7
3234,23,16,780,43,2911,208,203,128,3673,1
3247,123,23,30,13,4455,251,216,80,1019,2
2817,10,14,466,87,30,204,212,143,1024,2
3210,11,10,258,29,5696,210,221,147,2273,1
2986,22,18,108,15,242,206,199,125,1319,2
2911,343,21,90,22,3707,171,202,166,2783,2
2793,100,13,150,40,1959,241,222,110,785,5
2818,61,19,228,70,2389,232,197,89,430,2
2747,157,9,210,8,2042,230,242,143,1277,2
2668,106,16,162,7,1312,246,219,97,514,2
2993,292,21,85,8,600,158,231,212,1015,2
2849,304,14,569,94,2021,182,233,191,895,5
2846,349,14,228,38,2280,193,215,161,2823,2
3091,320,11,60,7,3642,191,229,178,2077,1
2762,190,5,30,-3,1972,220,244,159,2647,2
3041,185,18,190,20,5836,221,250,156,2321,2
2535,56,18,313,33,990,229,198,95,990,2
3174,356,17,426,95,1116,190,206,152,1594,1
2833,251,14,60,21,2461,187,249,199,2321,1
2747,57,18,589,147,1539,229,200,97,2505,2
2738,189,6,297,33,2331,221,245,159,1661,2
2830,167,12,30,3,1209,230,244,144,2490,1
3177,225,9,162,2,2132,208,249,177,713,1
2671,218,12,67,8,1868,207,251,179,1740,3
2836,213,8,797,64,2223,213,248,171,1680,5
3023,339,15,127,20,4425,186,217,169,1130,1
2410,57,22,67,9,1167,229,189,82,933,6
3118,25,17,256,-16,1324,210,202,124,256,1
2330,235,16,90,28,1154,192,252,196,153,3
3394,292,8,272,45,2190,197,239,182,2522,7
3028,258,16,240,2,618,180,248,205,871,1
2961,30,13,551,0,2160,216,212,130,2818,1
2983,310,16,408,6,4809,176,228,191,242,2
3086,357,16,60,14,2883,192,209,152,2206,1
3059,124,3,511,-11,1516,225,237,146,1298,2
3047,165,11,0,0,626,230,244,144,883,2
3267,343,9,371,93,3558,202,226,163,2718,1
3227,216,6,569,69,618,214,246,169,454,1
3034,51,9,120,5,1622,225,221,129,1110,1
3249,77,20,0,0,2479,240,199,81,2858,2
2981,137,16,85,30,4026,243,232,113,997,1
2767,344,17,134,50,1731,184,212,165,3228,2
3010,257,16,42,8,2851,182,248,203,939,2
2737,57,16,234,72,2669,229,203,102,1110,2
3461,197,12,684,136,4079,217,250,166,2986,7
3090,320,19,175,41,3571,168,219,189,671,2
2780,23,17,228,62,1677,208,202,127,3121,2
3423,78,7,481,74,2685,229,228,132,1364,7
3433,173,9,607,55,1337,226,245,151,3891,1
2827,74,8,361,29,693,230,226,129,301,2
3284,329,6,218,19,5610,207,233,165,451,2
3175,222,21,361,144,2274,189,254,195,1719,1
3357,246,13,481,89,3142,193,250,194,1826,1
2998,151,5,67,11,3947,226,240,148,731,1
2970,11,11,342,17,832,208,217,145,1992,2
3102,14,8,153,12,2187,213,224,148,1679,1
3000,80,12,258,33,674,236,219,113,589,1
3385,300,10,497,90,1456,192,236,184,932,7
2652,4,17,95,28,1489,196,206,145,1965,2
2705,126,6,443,-10,1159,231,236,138,1677,2
2628,96,12,192,17,1794,239,223,113,607,2
